group_name,gender,status
&TEAM,M,manual_override
2F,M,manual_override
82MAJOR,M,downloaded
8TURN,M,downloaded
ADAP,M,downloaded
ADYA,F,downloaded
AHOF,M,downloaded
AIMERS,M,downloaded
ALL(H)OURS,M,downloaded
ALLDAY PROJECT,COED,manual_override
ALPHA DRIVE ONE,M,downloaded
AMPERS&ONE,M,downloaded
AND2BLE,M,downloaded
ARISE,F,downloaded
ARTMS,F,downloaded
ARrC,M,downloaded
ASTRO,M,manual_override
AtHeart,F,downloaded
AxMxP,M,downloaded
B.D.U,M,downloaded
BABYMONSTER,F,downloaded
BADVILLAIN,F,downloaded
BAE173,M,downloaded
BE BOYS,M,downloaded
BEWAVE,F,downloaded
BLACKPINK,F,manual_override
BLITZERS,M,downloaded
BOYNEXTDOOR,M,downloaded
BTOB,M,manual_override
BTS,M,manual_override
Baby DONT Cry,F,downloaded
Billlie,F,downloaded
CLASS:y,F,manual_override
CLOSE YOUR EYES,M,downloaded
CMDM,M,downloaded
CORTIS,M,downloaded
CRAVITY,M,downloaded
CRAXY,F,downloaded
Candy Shop,F,downloaded
DAILY:DIRECTION,M,downloaded
DAYCHILD,M,downloaded
DKB,M,downloaded
DRIPPIN,M,downloaded
DXMON,M,downloaded
Dragon Pony,M,manual_override
E'LAST,M,downloaded
EL7Z UP,F,downloaded
ENHYPEN,M,downloaded
EPEX,M,downloaded
EVNNE,M,downloaded
EXO,M,manual_override
FANTASY BOYS,M,downloaded
FIFTY FIFTY,F,downloaded
GHOST9,M,downloaded
GOT7,M,manual_override
Geenius,F,downloaded
Girls' Generation,F,manual_override
H1-KEY,F,downloaded
HEART OF WOMAN,F,downloaded
HORI7ON,M,downloaded
Hearts2Hearts,F,downloaded
Hi-Fi Un!corn,M,manual_override
Highlight,M,manual_override
I.MET.U,F,downloaded
ICHILLIN',F,downloaded
IDID,M,downloaded
ILLIT,F,downloaded
INFINITE,M,manual_override
ITZY,F,manual_override
IU,F,manual_override
IVE,F,downloaded
JUSTB,M,downloaded
JWiiver,M,manual_override
KATSEYE,F,downloaded
KEYVITUP,M,downloaded
KIIRAS,F,downloaded
KISS OF LIFE,F,downloaded
Kep1er,F,downloaded
KickFlip,M,downloaded
KiiiKiii,F,downloaded
LE SSERAFIM,F,downloaded
LIGHTSUM,F,downloaded
LIMELIGHT,F,downloaded
LNGSHOT,M,downloaded
LUCY,M,downloaded
LUN8,M,downloaded
MADEIN,F,downloaded
MAMAMOO,F,manual_override
MCND,M,downloaded
MEOVV,F,downloaded
MIMIIROSE,F,downloaded
MODYSSEY,M,downloaded
MONSTA X,M,manual_override
NAZE,M,downloaded
NCHIVE,M,downloaded
NCT,M,manual_override
NCT WISH,M,downloaded
NEWBEAT,M,downloaded
NEXZ,M,downloaded
NINE.i,M,downloaded
NMIXX,F,downloaded
NOWZ,M,downloaded
NTX,M,downloaded
NXD,M,downloaded
NXMERCY,M,downloaded
NewJeans,F,downloaded
NiziU,F,downloaded
NouerA,M,downloaded
ODD YOUTH,F,downloaded
OH MY GIRL,F,manual_override
OMEGA X,M,downloaded
ONE PACT,M,downloaded
ONF,M,manual_override
OWIS,F,downloaded
P1Harmony,M,downloaded
POLARIX,M,downloaded
POW,M,downloaded
PRIKIL,F,manual_override
Pentagon,M,manual_override
QWER,F,downloaded
Queenz Eye,F,downloaded
RESCENE,F,downloaded
RIIZE,M,downloaded
Red Velvet,F,manual_override
Rocking doll,F,downloaded
SAY MY NAME,F,downloaded
SECRET NUMBER,F,downloaded
SEVENTEEN,M,manual_override
SEVENUS,M,manual_override
SF9,M,manual_override
STAYC,F,manual_override
SUPER JUNIOR,M,manual_override
Stray Kids,M,manual_override
TAN,M,downloaded
TEMPEST,M,downloaded
THE SSYNDROME,M,manual_override
TIOT,M,downloaded
TNX,M,downloaded
TREASURE,M,downloaded
TRENDZ,M,downloaded
TUNEXX,M,downloaded
TWICE,F,manual_override
TWS,M,downloaded
TXT,M,manual_override
The Boyz,M,manual_override
The KingDom,M,downloaded
The Wind,M,downloaded
UDTT,F,downloaded
UNCHILD,F,downloaded
USPEER,F,downloaded
VAY ONN,M,downloaded
VAYONN,M,manual_override
VCHA,F,manual_override
VI'ENX,M,manual_override
VIVIZ,F,downloaded
VVS,M,downloaded
VVUP,F,downloaded
WAKER,M,downloaded
WEi,M,downloaded
WHIB,M,downloaded
WINNER,M,manual_override
WOOAH,F,downloaded
We;Na,F,manual_override
X:IN,F,downloaded
XG,F,manual_override
XLOV,M,manual_override
XODIAC,M,downloaded
Xdinary Heroes,M,downloaded
YOUNG POSSE,F,downloaded
YOUNITE,M,downloaded
YUHZ,M,downloaded
ZEROBASEONE,M,downloaded
aespa,F,downloaded
hrtz.wav,M,downloaded
iKON,M,manual_override
idntt,M,downloaded
iii,F,downloaded
izna,F,downloaded
n.SSign,M,downloaded
tripleS,F,downloaded
withus,M,downloaded
xikers,M,downloaded
BBGIRLS,F,manual_override
DAY6,M,manual_override
EXID,F,manual_override
GFRIEND,F,manual_override
Ladies' Code,F,manual_override
Lovelyz,F,manual_override
MOMOLAND,F,manual_override
N.Flying,M,manual_override
VIXX,M,manual_override
WJSN,F,manual_override
B.A.P,M,manual_override
